Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg;ro_w;ro_a;x1;x2;x3;estado;w_inj;u1;GOR
10053284,34;5038040,783;10052928,73;14957928,73;0,200000009;1,68642158;1,903286973;0,216864022;1,686422952;0,016864216;340,8010838;112,483671;2398,549128;669,7860232;5208,528889;0;0,2;0,1;0,01
10061032,63;6245865,728;10059611,3;14964611,3;0,400000009;1,54669843;1,962166446;0,415466782;1,546699664;0,015466984;259,1740111;112,5703647;2400,397744;946,5505078;3523,818064;0;0,4;0,1;0,01
10073378,81;7019346,666;10070184,73;14975184,73;0,599999991;1,295188193;1,908139106;0,612952092;1,295187014;0,012951882;207,3284445;112,708503;2403,343339;1148,754617;2427,354571;0;0,6;0,1;0,01
10085510,76;7573455,628;10079839,22;14984839,22;0,799999991;1,012357945;1,82248055;0,810123807;1,012356743;0,010123579;170,3284807;112,8442443;2406,237824;1305,953299;1631,961208;0;0,8;0,1;0,01
10096171,7;7992023,301;10087319,28;14992319,28;0,999999992;0,720566871;1,727771457;1,007205937;0,72056552;0,007205669;142,3918437;112,9635269;2408,781349;1431,755884;1024,292931;0;1;0,1;0,01
10105022,64;8318029,793;10092286,33;14997286,33;1,199999992;0,428303781;1,632585369;1,204283418;0,428301951;0,004283038;120,5746882;113,0625579;2410,89304;1534,12531;545,6098235;0;1,2;0,1;0,01
10112036,8;8576942,852;10094713,29;14999713,29;1,399999992;0,139218644;1,540607249;1,401393181;0,139214068;0,001392186;103,14444;113,1410375;2412,566503;1618,325086;160,7640319;0;1,4;0,1;0,01
10726042,38;9208465,442;10704689,09;15609689,09;1,600821463;2,60E-07;1,601387821;1,601384477;3,34E-06;2,60E-09;101,6801665;120,0109916;2559,058188;1753,828903;0,003661673;0;1,6;0,1;0,01
11903192,55;10218507,26;11878845,06;16783845,06;1,80073407;2,60E-07;1,801239889;1,801237265;2,62E-06;2,60E-09;112,8330144;133,181829;2839,906955;1946,199869;0,002834773;0;1,8;0,1;0,01
13081974,16;11229948,83;13054628,45;17959628,45;2,000654132;2,60E-07;2,001104713;2,001102574;2,14E-06;2,60E-09;124,0013335;146,37092;3121,144957;2138,837414;0,002286493;0;2;0,1;0,01
10007887,85;4434469,921;10007530,63;14912530,63;0,200000009;2,431651633;2,655968698;0,224316443;2,431652255;0,024316516;378,7333133;111,9757411;2387,718268;551,7261204;5980,863678;0;0,2;0,2;0,01
10008261,24;5521762,416;10006832,42;14911832,42;0,400000009;2,441337462;2,865751306;0,4244133;2,441338006;0,024413375;304,7957867;111,9799189;2387,807354;778,5944916;4478,682269;0;0,4;0,2;0,01
10022442,03;6254298,968;10019231,71;14924231,71;0,600000009;2,263169506;2,885801624;0,622631621;2,263170003;0,022631695;255,8567954;112,1385841;2391,190657;952,1679015;3460,983603;0;0,6;0,2;0,01
10040307,58;6803770,003;10034610,51;14939610,51;0,800000008;2,020477501;2,84068267;0,820204701;2,020477969;0,020204775;219,5610269;112,3384773;2395,453086;1093,469482;2693,633668;0;0,8;0,2;0,01
10058594,68;7237785,987;10049709,19;14954709,19;0,999999992;1,749759574;2,767256789;1,017497671;1,749759118;0,017497596;191,0923008;112,5430871;2399,816088;1211,934177;2084,125532;0;1;0,2;0,01
10075977,54;7591141,197;10063204,51;14968204,51;1,199999992;1,466074632;2,680734997;1,214660827;1,46607417;0,014660746;167,996148;112,7375795;2403,963354;1312,962573;1584,722642;0;1,2;0,2;0,01
10091873,58;7884502,303;10074515,46;14979515,46;1,399999992;1,176756205;2,588523363;1,411767652;1,176755712;0,011767562;148,8286207;112,9154363;2407,755889;1400,069114;1167,004588;0;1,4;0,2;0,01
10106034,66;8131315,475;10083394,59;14988394,59;1,599999993;0,885734384;2,494591271;1,608857451;0,885733819;0,008857344;132,6591315;113,0738811;2411,134491;1475,730994;812,4429226;0;1,6;0,2;0,01
10118377,63;8340901,685;10089758,75;14994758,75;1,799999993;0,595238207;2,401190003;1,805952528;0,595237475;0,005952382;118,8485943;113,2119835;2414,079321;1541,791808;508,1707571;0;1,8;0,2;0,01
10128904,93;8520030,164;10093609,7;14998609,7;1,999999993;0,306568488;2,309633186;2,003065947;0,306567239;0,003065685;106,9371075;113,3297708;2416,590963;1599,677921;244,8291054;0;2;0,2;0,01
9927050,441;3897925,155;9926690,312;14831690,31;0,200000009;3,373089816;3,606820951;0,233730877;3,373090074;0,033730898;409,7020155;111,0712717;2368,431786;457,9430655;6608,811065;0;0,2;0,3;0,01
9903878,059;4843187,602;9902434,172;14807434,17;0,400000008;3,607970338;4,044050226;0,436079686;3,60797054;0,036079703;343,8156011;110,8120017;2362,903234;639,4797198;5290,831159;0;0,4;0,3;0,01
9911442,992;5506826,234;9908196,726;14813196,73;0,600000008;3,553575852;4,189111756;0,635535745;3,553576012;0,035535759;299,1077466;110,8966438;2364,708104;782,7040434;4376,462435;0;0,6;0,3;0,01
9930688,413;6022615,867;9924928,458;14829928,46;0,800000007;3,390698487;4,224605578;0,833906977;3,390698602;0,033906985;265,1928366;111,111976;2369,299746;902,9113428;3671,273072;0;0,8;0,3;0,01
9954888,144;6443919,157;9945910,092;14850910,09;1,000000006;3,174661832;4,206408468;1,031746625;3,174661843;0,031746618;237,9878312;111,3827407;2375,073406;1006,858049;3098,080236;0;1;0,3;0,01
9980975,147;6798365,539;9968080,544;14873080,54;1,199999994;2,929121926;4,158413116;1,229291215;2,929121901;0,029291219;215,4070679;111,6746216;2381,297338;1098,345503;2617,107996;0;1,2;0,3;0,01
10007356,47;7102412,403;9989851,752;14894851,75;1,400000004;2,666087309;4,092748646;1,426660771;2,666087875;0,026660873;196,2242168;111,9697957;2387,591491;1179,804726;2204,772948;0;1,4;0,3;0,01
10033140,59;7366779,222;10010336,04;14915336,04;1,600000007;2,392338605;4,016262114;1,62392337;2,392338743;0,023923386;179,65048;112,2582877;2393,743158;1252,921168;1845,784048;0;1,6;0,3;0,01
10057807,6;7598897,322;10029016,37;14934016,37;1,800000001;2,111988027;3,933108124;1,821119827;2,111988297;0,02111988;165,1457049;112,5342806;2399,628303;1318,930165;1529,58912;0;1,8;0,3;0,01
10081049,23;7804163,728;10045586,45;14950586,45;1,999999994;1,827664042;3,845940598;2,018276651;1,827663947;0,01827664;152,3223054;112,7943254;2405,173376;1378,775346;1248,559254;0;2;0,3;0,01
9794750,281;3427080,435;9794385,287;14699385,29;0,199999993;4,507943499;4,753022909;0,245079427;4,507943483;0,045079435;432,7084507;109,5909984;2336,867132;384,8435445;7078,737586;0;0,2;0,4;0,01
9718407,865;4217055,892;9716936,422;14621936,42;0,399999994;5,05540284;5,505956915;0,45055401;5,055402904;0,050554028;373,7601448;108,7368223;2318,653081;527,5442837;5919,265708;0;0,4;0,4;0,01
9700861,213;4791752,35;9697544,478;14602544,48;0,599999995;5,183434504;5,835268929;0,651834322;5,183434607;0,051834345;333,3871647;108,5404973;2314,466737;642,3579518;5108,077815;0;0,6;0,4;0,01
9708944,199;5251701,068;9703052,691;14608052,69;0,799999995;5,147391386;5,998865399;0,851473887;5,147391513;0,051473914;302,5043577;108,6309358;2316,395205;740,6034521;4477,149545;0;0,8;0,4;0,01
9730382,1;5637600,972;9721196,901;14626196,9;0,999999996;5,026836928;6,077105412;1,050268339;5,026837073;0,050268369;277,5124654;108,870799;2321,509938;827,2521049;3959,427695;0;1;0,4;0,01
9759301,375;5970689,138;9746113,882;14651113,88;1,199999997;4,856408302;6,104972509;1,248564051;4,856408459;0,048564083;256,5698093;109,1943695;2328,409603;905,0749523;3520,374988;0;1,2;0,4;0,01
9792475,798;6263675,175;9774586,964;14679586,96;1,399999997;4,654022052;6,100562408;1,446540186;4,654022222;0,046540221;238,5940733;109,5655498;2336,324478;975,8254972;3139,56957;0;1,4;0,4;0,01
9827971,613;6524860,431;9804690,993;14709690,99;1,599999998;4,429998746;6,074298892;1,644299949;4,429998943;0,044299987;222,8902862;109,9627036;2344,793199;1040,70564;2803,822313;0;1,6;0,4;0,01
9864557,837;6760008,382;9835202,581;14740202,58;1,800000001;4,190740448;6,032648092;1,841907352;4,190740741;0,041907404;208,9836357;110,3720576;2353,522073;1100,585915;2504,072873;0;1,8;0,4;0,01
9901415,806;6973305,514;9865309,656;14770309,66;2,000000007;3,940439984;5,979844417;2,039404405;3,940440012;0,0394044;196,5344303;110,7844522;2362,315781;1156,122874;2233,805525;0;2;0,4;0,01
9600350,718;3020819,581;9599978,333;14504978,33;0,200000008;5,784761419;6,04260964;0,257847547;5,784762093;0,057847614;447,1055897;107,4159106;2290,486578;329,0792097;7382,831286;0;0,2;0,5;0,01
9426918,357;3648349,135;9425401,416;14330401,42;0,400000001;6,727916787;7,195195713;0,467279206;6,727916507;0,067279168;392,5961455;105,4754195;2249,108455;439,7762343;6331,926926;0;0,4;0,5;0,01
9354121,782;4119845,112;9350682,102;14255682,1;0,600000009;7,093369431;7,764303771;0,670933606;7,093370165;0,070933694;355,4765199;104,6609169;2231,740383;529,8340047;5601,610486;0;0,6;0,5;0,01
9328145,315;4506913,695;9322013,301;14227013,3;0,8;7,228685972;8,100973088;0,872286815;7,228686272;0,07228686;327,2238944;104,3702728;2225,542823;607,7416614;5036,386803;0;0,8;0,5;0,01
9328526,354;4839059,293;9318945,474;14223945,47;0,999999997;7,24301636;8,315446653;1,072430134;7,243016518;0,072430164;304,4435053;104,3745361;2225,633733;677,2390968;4573,961331;0;1;0,5;0,01
9345255,836;5131821,297;9331484,066;14236484,07;1,199999995;7,184265944;8,456108678;1,271842637;7,184266041;0,071842659;285,4001202;104,5617181;2229,625114;740,4041714;4182,326013;0;1,2;0,5;0,01
9372713,929;5394557,17;9354023,933;14259023,93;1,399999995;7,077427647;8,548201971;1,470774258;7,077427713;0,070774276;269,0769123;104,8689398;2236,176165;798,5453068;3842,633671;0;1,4;0,5;0,01
9407451,821;5633406,333;9383130,54;14288130,54;1,599999994;6,937029299;8,606399623;1,669370276;6,937029347;0,069370293;254,8232556;105,2576133;2244,464058;852,5544186;3542,770053;0;1,6;0,5;0,01
9447216,011;5852645,671;9416563,953;14321563,95;1,799999994;6,772169283;8,639890996;1,867721678;6,772169319;0,067721693;242,1962815;105,7025249;2253,951143;903,0738113;3274,454021;0;1,8;0,5;0,01
9490463,215;6055389,598;9452793,611;14357793,61;1,999999994;6,588865753;8,654754424;2,065888643;6,588865781;0,065888658;230,8803271;106,186407;2264,269218;950,5850261;3031,759321;0;2;0,5;0,01
9353076,031;2682244,362;9352693,759;14257693,76;0,200006736;7,083766069;7,355430461;0,2707454;7,084685061;0,070837661;453,3095071;104,6492163;2231,490884;287,8042396;7531,11466;1;0,2;0,6;0,01
9033118,713;3148856,156;9031535,641;13936535,64;0,399999998;8,478808328;8,963596159;0,484788116;8,478808044;0,084788083;399,7743449;101,0692943;2155,154304;372,9378684;6522,578621;0;0,4;0,6;0,01
8869478,799;3510500,9;8865851,169;13770851,17;0,600000001;9,115396916;9,806551097;0,691153938;9,115397159;0,091153969;363,9381766;99,23836844;2116,112498;442,4232964;5834,972265;0;0,6;0,6;0,01
8780792,647;3814358,805;8774278,392;13679278,39;0,800000004;9,44885076;10,34333919;0,894488527;9,448850663;0,094488508;337,0655513;98,24608139;2094,953434;502,7826214;5311,099877;0;0,8;0,6;0,01
8735668,908;4080256,702;8725437,808;13630437,81;0,999999997;9,621975065;10,71819493;1,096219727;9,6219752;0,096219751;315,6765958;97,74120322;2084,187648;556,8910366;4888,063596;0;1;0,6;0,01
8718586,373;4318776,185;8703824,724;13608824,72;1,199999994;9,697600151;10,99457583;1,296976047;9,69759978;0,096976002;297,9985415;97,55007103;2080,112035;606,344575;4533,689755;0;1,2;0,6;0,01
8720755,231;4536347,282;8700667,982;13605667,98;1,400000001;9,708596418;11,20568225;1,49708599;9,708596263;0,097085964;282,9983486;97,57433783;2080,629489;652,1450843;4229,158092;0;1,4;0,6;0,01
8736737,362;4737218,663;8710548,95;13615548,95;1,600000004;9,674135155;11,37087645;1,69674137;9,674135081;0,096741352;270,0190477;97,75315788;2084,442564;694,9730929;3962,456329;0;1,6;0,6;0,01
8762951,029;4924367,151;8729905,47;13634905,47;1,800000006;9,60626828;11,50233094;1,896062697;9,606268243;0,096062683;258,6162636;98,04645601;2090,696716;735,3169027;3725,431348;0;1,8;0,6;0,01
8796923,317;5099971,245;8756283,881;13661283,88;2,000000008;9,513002135;11,60813246;2,095129977;9,513002481;0,095130021;248,4752046;98,4265634;2098,801948;773,541385;3512,28859;0;2;0,6;0,01
9057446,437;2373893,602;9287296,397;14192296,4;0,192704906;6,473068784;6,5911961;0,267599043;6,323597057;0,064730688;469,8201016;101,3414911;2160,958501;250,7058979;7852,99635;1;0,2;0,7;0,01
8587806,371;2738026,761;8586147,019;13491147,02;0,399168994;10,0992433;10,59204871;0,500733869;10,09131484;0,100992433;397,4257735;96,08680646;2048,910066;324,0305348;6530,97657;1;0,4;0,7;0,01
8306876,093;2994760,212;8303002,774;13208002,77;0,599999995;11,00631693;11,71637988;0,710063194;11,00631668;0,110063169;360,7368374;92,94354821;1981,884699;377,0907956;5845,086396;0;0,6;0,7;0,01
8132385,721;3215138,663;8125352,075;13030352,07;0,799999998;11,53898608;12,45437577;0,915389883;11,53898588;0,115389861;333,6876257;90,9912193;1940,254152;423,0348304;5332,583444;0;0,8;0,7;0,01
8021259,424;3411606,308;8010117,096;12915117,1;1,000000003;11,87173468;12,99045196;1,118717363;11,8717346;0,118717347;312,5049806;89,74785511;1913,741236;464,1997921;4926,049167;0;1;0,7;0,01
7951501,93;3590635,47;7935316,218;12840316,22;1,199999994;12,0828235;13,40365149;1,320828263;12,08282323;0,120828235;295,2552326;88,96735604;1897,098239;501,8485923;4590,867714;0;1,2;0,7;0,01
7910589,135;3756220,55;7888444,642;12793444,64;1,400000005;12,21323635;13,73536868;1,522132377;12,21323631;0,122132364;280,8171317;88,50959306;1887,337116;536,7691936;4306,911214;0;1,4;0,7;0,01
7890744,669;3911033,052;7861748,511;12766748,51;1,599999999;12,28689549;14,00976454;1,722868937;12,2868956;0,122868955;268,4821922;88,28755832;1882,602551;569,493499;4061,427437;0;1,6;0,7;0,01
7886832,12;4056963,838;7850115,652;12755115,65;1,799999995;12,31885473;14,24204331;1,923188534;12,31885477;0,123188547;257,7745031;88,24378179;1881,669081;600,4009885;3845,828139;0;1,8;0,7;0,01
7895296,579;4195408,755;7850016,203;12755016,2;1,999999996;12,31912759;14,4423187;2,123191299;12,31912741;0,123191276;248,3593237;88,3384885;1883,688562;629,7737445;3654,057456;0;2;0,7;0,01
8582803,663;2182053,541;9431912,976;14336912,98;0,179537608;4,588189538;4,779855092;0,226428401;4,553426691;0,045881895;492,6849769;96,03083243;2047,716502;220,7240733;8277,363474;1;0,2;0,8;0,01
8427964,303;2366430,699;8841532,587;13746532,59;0,37871492;8,16667124;8,538566226;0,463027097;8,075539129;0,081666712;440,0341073;94,29837375;2010,774365;266,1368718;7323,801005;1;0,4;0,8;0,01
8172555,636;2550654,414;8266277,144;13171277,14;0,586576935;10,65941899;11,2964998;0,694232664;10,60226713;0,10659419;388,4215243;91,44067039;1949,838036;311,9199785;6387,777137;1;0,6;0,8;0,01
7500607,558;2746849,007;7492981,466;12397981,47;0,800000005;13,26259601;14,19522213;0,932625945;13,26259619;0,13262596;322,5370342;83,92241227;1789,522221;365,5079012;5197,779154;0;0,8;0,8;0,01
7314846,753;2880327,14;7302628,383;12207628,38;1,000000009;13,73915286;14,8765446;1,137391512;13,73915309;0,137391529;300,5301558;81,84398132;1745,202732;396,3216998;4787,379234;0;1;0,8;0,01
7183836,451;3003963,547;7165921,133;12070921,13;1,199999997;14,07145094;15,41216532;1,340714524;14,07145079;0,140714509;282,8377564;80,37814;1713,945818;424,3868515;4454,146346;0;1,2;0,8;0,01
7091286,913;3119894,185;7066583,925;11971583,92;1,399999998;14,30807208;15,8511527;1,543080734;14,30807197;0,143080721;268,208613;79,34262648;1691,865013;450,3523161;4175,849782;0;1,4;0,8;0,01
7027029,238;3229575,276;6994469,066;11899469,07;1,600000002;14,47742695;16,22220133;1,744774256;14,47742707;0,14477427;255,8541481;78,62366351;1676,534183;474,6503454;3938,455497;0;1,6;0,8;0,01
6984322,663;3334054,632;6942861,718;11847861,72;1,799999994;14,59741579;16,54338979;1,945974173;14,59741562;0,145974158;245,2468288;78,14583038;1666,345094;497,5856543;3732,55961;0;1,8;0,8;0,01
6958490,504;3434116,98;6907114,131;11812114,13;2,000000003;14,6799552;16,82675472;2,146799563;14,67995515;0,146799552;236,0174755;77,85680085;1660,181963;519,3823367;3551,570226;0;2;0,8;0,01
7968173,398;2123580,541;9364226,682;14269226,68;0,222827798;4,367471374;4,633755;0,266530903;4,367224098;0,043674714;492,0588611;89,15388891;1901,075779;214,6236531;8272,664322;1;0,2;0,9;0,01
7896146,088;2229129,65;8822926,611;13727926,61;0,42665489;7,309649815;7,851459359;0,498699524;7,352759835;0,073096498;448,1003711;88,34799345;1883,891241;246,6778823;7482,391122;1;0,4;0,9;0,01
7840001,164;2301843,197;8439138,188;13344138,19;0,571867191;9,481724664;10,03764715;0,669604953;9,368042199;0,094817247;417,0774714;87,71980201;1870,495981;269,3701131;6924,59973;1;0,6;0,9;0,01
7613893,979;2404897,767;7889965,931;12794965,93;0,778964659;11,57083866;12,26856102;0,909933814;11,3586272;0,115708387;372,7535279;85,18994556;1816,550507;302,1965373;6127,250802;1;0,8;0,9;0,01
7386531,599;2488432,277;7450353,104;12355353,1;0,974497479;13,02890405;14,10912075;1,09697306;13,01214769;0,13028904;337,2015513;82,64604505;1762,305564;328,47692;5487,751377;1;1;0,9;0,01
6543480,575;2582440,196;6523812,033;11428812,03;1,20000001;15,53744852;16,89282317;1,355374478;15,53744869;0,155374485;267,8472197;73,21335908;1561,167385;370,6773855;4249,291213;0;1,2;0,9;0,01
6400275,39;2657015,13;6372905,321;11277905,32;1,399999995;15,86233275;17,42095597;1,558623335;15,86233263;0,158623328;252,5239681;71,61107227;1527,000972;389,6939623;3965,971198;0;1,4;0,9;0,01
6291802,208;2728507,627;6255437,225;11160437,22;1,600000009;16,11069346;17,87180054;1,761106927;16,11069361;0,161106935;239,6826095;70,39739311;1501,121046;407,385739;3726,784967;0;1,6;0,9;0,01
6209935,666;2797392,647;6163304,487;11068304,49;1,8;16,30284075;18,26586921;1,9630284;16,30284082;0,163028408;228,7401862;69,48140896;1481,589028;424,0143847;3521,415696;0;1,8;0,9;0,01
6149008,914;2864032,216;6090869,138;10995869,14;2,000000004;16,45233255;18,61685596;2,164523318;16,45233264;0,164523325;219,2889516;68,79971484;1467,052902;439,7689497;3342,641304;0;2;0,9;0,01
7562556,874;2054384,532;9587218,111;14492218,11;0,173600382;2,836378941;3,038027276;0,202009569;2,836017708;0,028363789;511,9152959;84,61554759;1804,302314;197,8562722;8631,925851;1;0,2;1;0,01
7476711,826;2116817,694;9023010,072;13928010,07;0,377656569;6,076013568;6,429742483;0,440531848;5,989210635;0,060760136;469,3300971;83,65504893;1783,82109;223,4805628;7871,769832;1;0,4;1;0,01
7415746,052;2185257,46;8491340,741;13396340,74;0,610778323;8,74803555;9,435339717;0,699413814;8,735925904;0,087480356;428,5479634;82,97291822;1769,275654;249,491524;7142,32735;1;0,6;1;0,01
7444779,598;2233223,305;8144890,62;13049890,62;0,788234104;10,39822965;11,47691484;0,875049619;10,60186522;0,103982297;401,744296;83,29776726;1776,202583;266,9502152;6662,545018;1;0,8;1;0,01
7139826,289;2289009,13;7557537,079;12462537,08;0,98513412;12,41101726;13,36290036;1,115865612;12,24703475;0,124110173;358,0379171;79,88572136;1703,445714;292,8635836;5882,761222;1;1;1;0,01
6913068,825;2345652,145;7116018,953;12021018,95;1,209146589;13,757256;15,09479285;1,349629402;13,74516345;0,13757256;324,1839489;77,3485891;1649,345094;315,1009308;5276,592968;1;1,2;1;0,01
6678811,636;2394005,559;6714749,76;11619749,76;1,428238148;14,8503807;16,64329414;1,565715183;15,07757896;0,148503807;293,628556;74,7275443;1593,455162;334,9816168;4729,676922;1;1,4;1;0,01
5758290,57;2398878,657;5718556,333;10623556,33;1,600000007;17,20022069;18,972223;1,772002205;17,20022079;0,172002207;225,5982111;64,42806552;1373,833899;363,440708;3527,794946;0;1,6;1;0,01
5642406,094;2440516,466;5591084,616;10496084,62;1,799999997;17,4489163;19,4234054;1,974489167;17,44891623;0,174489163;214,1058886;63,13146325;1346,18576;375,4134892;3317,59659;0;1,8;1;0,01
5550676,086;2481262,031;5486269,158;10391269,16;1,999999994;17,65078482;19,82729259;2,17650785;17,65078474;0,176507848;204,213872;62,10511926;1324,300481;386,6641817;3135,723235;0;2;1;0,01
