w_inj;u1;GOR;x1_eq;x2_eq;x3_eq;status;residual_norm
0,2;0,1;0,01;2398,549127765152;669,7860231902594;5208,528888623452;convergiu;1,3863085505673806e-06
0,4;0,1;0,01;2400,3977443455487;946,5505077972272;3523,8180640796268;convergiu;1,2511274795998162e-06
0,6000000000000001;0,1;0,01;2403,3433390847736;1148,754616942124;2427,3545707287453;convergiu;1,1986537070293994e-06
0,8;0,1;0,01;2406,2378235345923;1305,9532987010439;1631,9612084582445;convergiu;1,2255792568117817e-06
1,0;0,1;0,01;2408,7813492619994;1431,7558835318684;1024,2929313456975;convergiu;1,3795362585945173e-06
1,2;0,1;0,01;2410,893040056233;1534,1253097162814;545,609823466832;convergiu;1,8709011564164174e-06
1,4;0,1;0,01;2412,566502918621;1618,3250860564558;160,76403195031006;convergiu;4,684495722119944e-06
1,6;0,1;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,8;0,1;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
2,0;0,1;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,2;0,2;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,4;0,2;0,01;2387,807354307904;778,5944916217683;4478,682269237301;convergiu;5,496226367400476e-07
0,6000000000000001;0,2;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,8;0,2;0,01;2395,4530858348808;1093,4694821425112;2693,6336684690855;convergiu;4,7524891084922347e-07
1,0;0,2;0,01;2399,816087911532;1211,9341768574664;2084,1255321403446;convergiu;4,640399734481388e-07
1,2;0,2;0,01;2403,9633542009947;1312,962572730953;1584,722642238354;convergiu;4,703212879682098e-07
1,4;0,2;0,01;2407,755888915949;1400,0691143923661;1167,0045883257892;convergiu;5,027152184844174e-07
1,6;0,2;0,01;2411,134491026227;1475,7309940669832;812,4429225795645;convergiu;5,762856929254879e-07
1,8;0,2;0,01;2414,0793213508437;1541,7918083799423;508,1707571119379;convergiu;7,479404405397549e-07
2,0;0,2;0,01;2416,590962759475;1599,6779210881377;244,82910539727212;convergiu;1,27704535997163e-06
0,2;0,3;0,01;2368,43178553925;457,9430655481151;6608,811065353139;convergiu;2,5978362431532393e-07
0,4;0,3;0,01;2362,903234396228;639,4797198045168;5290,8311589133045;convergiu;2,036044941246913e-07
0,6000000000000001;0,3;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,8;0,3;0,01;2369,2997461695963;902,9113427762404;3671,2730716809906;convergiu;1,1567349593193268e-07
1,0;0,3;0,01;2375,073405944075;1006,858049034801;3098,080236480759;convergiu;1,2295329333336278e-08
1,2;0,3;0,01;2381,2973379550285;1098,3455030678072;2617,107996482564;convergiu;2,5427263160115834e-08
1,4;0,3;0,01;2387,591490624688;1179,8047256824361;2204,7729479134523;convergiu;5,763046014493653e-07
1,6;0,3;0,01;2393,74315848498;1252,9211675027748;1845,7840476893418;convergiu;1,4028355118060066e-07
1,8;0,3;0,01;2399,6283029933093;1318,93016532041;1529,5891196847956;convergiu;2,751147868289775e-07
2,0;0,3;0,01;2405,1733761302853;1378,7753456027465;1248,5592544959488;convergiu;9,680271297277818e-08
0,2;0,4;0,01;2336,867132225175;384,8435445289354;7078,737585675598;convergiu;1,799463470864139e-08
0,4;0,4;0,01;2318,653081081969;527,5442836889207;5919,2657081115385;convergiu;6,589783305377656e-08
0,6000000000000001;0,4;0,01;2314,466737073573;642,35795175202;5108,077814615916;convergiu;1,0427752480145889e-07
0,8;0,4;0,01;2316,3952052857485;740,6034521038038;4477,149545031201;convergiu;1,291505786494805e-07
1,0;0,4;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,2;0,4;0,01;2328,409603405001;905,0749523086982;3520,3749876634074;convergiu;1,5951127967320295e-07
1,4;0,4;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,6;0,4;0,01;2344,793198612369;1040,705640083271;2803,8223133028223;convergiu;2,008242738509606e-07
1,8;0,4;0,01;2353,522072911498;1100,5859154548675;2504,0728733709884;convergiu;2,978051118800797e-07
2,0;0,4;0,01;2362,3157809798768;1156,1228736061155;2233,8055253762604;convergiu;2,8009050744188638e-08
0,2;0,5;0,01;2290,4865777231275;329,07920966846274;7382,831285504422;convergiu;6,780518526584448e-07
0,4;0,5;0,01;2249,1084545773665;439,77623425331336;6331,9269260843;convergiu;2,82334540180162e-07
0,6000000000000001;0,5;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,8;0,5;0,01;2225,542823073274;607,7416613725355;5036,386802677355;convergiu;3,0338420477778696e-07
1,0;0,5;0,01;2225,633732895724;677,2390968190275;4573,961331325264;convergiu;1,6050725795092723e-07
1,2;0,5;0,01;2229,6251135264506;740,4041714332824;4182,3260134245465;convergiu;9,892663510737198e-08
1,4;0,5;0,01;2236,176164996748;798,5453067770595;3842,633670862293;convergiu;6,720665542609609e-08
1,6;0,5;0,01;2244,464057619828;852,5544185879853;3542,770052616336;convergiu;4,8809454921476975e-08
1,8;0,5;0,01;2253,9511427332623;903,0738112970454;3274,454021151509;convergiu;3,7209572215962944e-08
2,0;0,5;0,01;2264,269217950188;950,5850261053324;3031,759321068586;convergiu;2,9503727057857002e-08
0,2;0,6;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,4;0,6;0,01;2155,1543038951063;372,93786843057717;6522,578621225667;convergiu;2,865683853435613e-07
0,6000000000000001;0,6;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,8;0,6;0,01;2094,953433624276;502,7826214314049;5311,099876962505;convergiu;9,823294117162334e-08
1,0;0,6;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,2;0,6;0,01;2080,112034683949;606,3445750355075;4533,689754894952;convergiu;3,752183626196942e-07
1,4;0,6;0,01;2080,629488631363;652,1450843026626;4229,158091714209;convergiu;1,5730959254590638e-07
1,6;0,6;0,01;2084,442563563437;694,9730929350155;3962,456328694856;convergiu;7,60750392878043e-08
1,8;0,6;0,01;2090,69671558778;735,3169027278645;3725,43134845277;convergiu;3,811263736776242e-08
2,0;0,6;0,01;2098,8019475903097;773,5413850278874;3512,2885901746117;convergiu;3,489799871723796e-07
0,2;0,7000000000000001;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,4;0,7000000000000001;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,6000000000000001;0,7000000000000001;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,8;0,7000000000000001;0,01;1940,2541517376485;423,03483042453536;5332,583444437789;convergiu;1,9714314428242977e-07
1,0;0,7000000000000001;0,01;1913,7412358961285;464,1997920958216;4926,049166809695;convergiu;8,300387369213191e-08
1,2;0,7000000000000001;0,01;1897,098239327608;501,84859229186765;4590,867714168479;convergiu;2,7002057315059626e-07
1,4;0,7000000000000001;0,01;1887,3371159403416;536,7691936248336;4306,91121398714;convergiu;4,591135131063325e-08
1,6;0,7000000000000001;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,8;0,7000000000000001;0,01;1881,6690808775077;600,4009885132409;3845,828139046997;convergiu;3,842964003773968e-08
2,0;0,7000000000000001;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,2;0,8;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,4;0,8;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,6000000000000001;0,8;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,8;0,8;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,0;0,8;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,2;0,8;0,01;1713,9458184535515;424,3868514526552;4454,146345957348;convergiu;1,4574264363566086e-07
1,4;0,8;0,01;1691,8650131943475;450,35231605635227;4175,84978219216;convergiu;1,1787438803400155e-07
1,6;0,8;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,8;0,8;0,01;1666,3450935221422;497,5856542726186;3732,559610226264;convergiu;1,7801950206029882e-07
2,0;0,8;0,01;1660,1819630638445;519,3823366815967;3551,5702259681907;convergiu;5,011414188618226e-08
0,2;0,9;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,4;0,9;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,6000000000000001;0,9;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,8;0,9;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,0;0,9;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,2;0,9;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,4;0,9;0,01;1527,00097163725;389,69396234191794;3965,9711983123134;convergiu;1,1866354506680268e-07
1,6;0,9;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,8;0,9;0,01;1481,5890283638216;424,0143847499014;3521,415695802903;convergiu;6,09019581383291e-08
2,0;0,9;0,01;1467,052902373889;439,76894973396026;3342,6413041602245;convergiu;9,595540176717324e-08
0,2;1,0;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,4;1,0;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,6000000000000001;1,0;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
0,8;1,0;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,0;1,0;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,2;1,0;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,4;1,0;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,6;1,0;0,01;;;;não convergiu: The maximum number of iterations allowed has been reached.;
1,8;1,0;0,01;1346,1857596886084;375,4134892490568;3317,5965899892817;convergiu;6,692094251718137e-08
2,0;1,0;0,01;1324,3004810301334;386,6641817330173;3135,7232347235763;convergiu;8,915077127996804e-08
